,Comentario
103,"7MoonvibeFeb 3, 2024this game is trying to be PT but didn't work. someplaces are scary but mainly just a walking simulator. Since it's free I'll give it a higher score, the story of the game is concerning to the modern society but it is not well written enough to be a horror game yet. if they have polished it a bit more then it could be a better horror gameRead More"
104,"8Antonio1998Feb 3, 2024Un buon ritorno per la saga. Ottime atmosfere, buona storia e ****. Peccato solo per il gameplay un po scialbo ma tutto sommato sono circa 2 ore intense."
105,"7PJMZdanowskiFeb 3, 2024The story is a bit straightforward and probably aimed at teenagers more then adults, but for what this is is (1,5 tech demo) I was entertained. Moody, scarry, some impressive visuals and ideas. A bit too little gameplay."
106,"9Nebula_padFeb 3, 2024Visualmente pudo ser mejor, aun así cumple, por lo tanto no resta. Lo más importante que es la ambientación e historia, en ambos casos, no decepcionan. Mi única queja, y por la cual no le pongo 10 es porque ,e pareció muy poco sutil, tampoco es que buscara algo donde todo son simbolismos, pero dejar mas cosas a la imaginación me hubira agradado. En general una entrega muy solida.Read More"
107,"10SorattglFeb 3, 2024Obra de arte que regresa a sus raíces, en verdad la historia me cautivo, es una maravilla como tocan temas tan profundo y tan duros y los manejan de una excelente manera, me da gusto saber que Silent Hill porfin volvió a sus orígenes"
108,"10Asura7Feb 3, 2024This is probably the best thing that has come out since the 4th part. For a free game, this is more than a worthy project, I would even be willing to pay for it.Very heartfelt story, good sound design, the location looks very well-crafted. I really like it."
109,"10ManelzamoraFeb 3, 2024Tiene un mensaje buenisimo que no se atreve a hablar nadie de la industria y graficamente es bueno"
110,"0Audi2018Feb 3, 2024Even as a free add on this is really poor.
Avoid at all costs, I’ve not idea who agreed this but then need a strong talking to."
111,"4dekaitoFeb 3, 2024Tematicamente interessante e atual, porem com narrativa rasa e adolescente, sem valor de gameplay algum e com um clima de terror  fraco. Pelo menos é bonito, com boa sonorização, e talvez a unica grande façanha dele que o salve de receber notas menores, é ser de graça."
112,"3Igl00ManFeb 3, 2024Silent Hill: The Short Message, continues an unfortunate trend after the mainline games... a game full of potential that falls flat on its face. While visually nice to look at, there's very little in terms of substance in the actual game. It also lacks a lot of the horror that Silent Hill is known for. The story is very weak, and the characters are very forgettable (not aided by lackluster voiceovers). At least the game is free, and not too long, but if an experience like this is indicative of Silent Hill's future, then the future is about as clear as the fog in the titular town.Read More"
113,"10IshigoFeb 3, 2024Im not a fan of horror games where you just run away from a monster, but since is a Silent Hill new game, and as a hardcore fan, a had to tried, and was a good surprise for me, story is great, graphics are very good regarding that is a free game, there are a lot of easter eggs about old games, and gameplay is very good too, for been the first silent hill game release since a long time ago, is a great comeback for the franchise.Read More"
114,"10BETRIOVENFeb 3, 2024Muy buen  juego ambientalizado  para  nuevas generaciones y manteniendo el estilo viejo de Silent Hill, tomando en cuento un tema muy delicado para  la época actual y la verdad  que se  desenvuelve bastante bien."
115,"10Ariel-XFeb 3, 2024Es una joya el juego trata una historia interesante dentro del nuevo juego de silent hill. Gratis una duración de casi 3hs si no pudiste jugar P.T este es lo más parecido."
116,"10NothypieFeb 3, 2024I love the game, the atmosphere, music and the story, and the theme of the game. It's such a wonderful masterpiece"
117,"10GamerPro1997Feb 3, 2024É um bom game , ele trata de um assunto bem pesado .
Talvez o pessoal não gostou tanto por ser em primeira pessoa ,
mas como um game grátuito vale super a pena ."
118,"10Mai23Feb 3, 2024Juego gratuito de 3 horas que te abrirá el apetito y las ganas para tener hype de silent Hill. Si no tuviste la oportunidad de jugar a PT, este es tu juego."
119,"0NubosisFeb 3, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
120,"9JorgeMora122Feb 3, 2024For a free game, we’ve got a nice scary and good game for our ps5, reminded me of TP. Such a nice adventure I had with it"
121,"2andreasbenakisFeb 3, 2024This is a very simple, 2-hours free-to-play videogame that shouldn't be called silent hill."
122,"1BaBka_YaGGaFeb 3, 2024Весь гемплей это читать записки и бегать от срашной хреноты. Зачем тут silent hill приплели не понятно, хотя понятно придумали тупую историю и впихнули громкое название. Взяли куски из p.t., побегушки из sh **** memories и дверь закрытую из sh 4 the room. Одна только тупорылая головоломка. Вечно ноет главная героиня-персонаж ( страшная как горила), никакого сопереживания это только бесит, возникает только вопрос, когда же это существо заткнется? Город Silent hill тут упоминается только в маленькой писуличке. Это не игра, это мусор, это трэш. Konami вы контора пи****.Read More"
123,"10Purple_souledFeb 3, 2024Have absolutely everything a silent hill fan wants and needs. While I was playing it totally gave the first 4 game vibes. Music wise, gameplay wise, quality wise, everything is perfect in this game. Completely worth it to play.
And mostly importantly, it has a great surprise at the end of the game forthose who loved the soundtracks of the games.Read More"
124,"10Darksickness9Feb 3, 2024Excelente juego tiene la decencia de silent hill en sus venas, la temática que toca si bien es algo adolescente la sabe plasmar bien."
125,"10TheGoodGoatFeb 3, 2024This is classic and PEAK Silent Hill! Although there is no combator puzzles, the thematic elements and presentation are exactly what Silent Hill is about, trauma and guilt. Evidently, many fans and publications are under the impression that Silent Hill is just a survivor horror franchise and have fundamentally misunderstood what it is. Those that have not are going to get it and love it.Read More"
126,"4TedakinFeb 3, 2024For a free short horror game it's at best fine. As a Silent Hill game it's trash. It has nothing to do with Silent Hill.  It has in your face messages. There isn't one mention or reference to anything Silent Hill related in the entire game. I'm almost positive this was a completely different game Konami just slapped the ""Silent Hill"" label on and put out.Read More"
127,"2dimaarchFeb 3, 2024Pathetic and uninteresting, has nothing to do with silent hill lore and atmosphere."
128,"10Mikez023Feb 3, 2024Que se fuma la ""prensa"" para dar semejantes notas? El juego tiene una historia interesante, luce gráficamente bien y es gratis, qué mas se puede pedir?"
129,"10Escante19Feb 3, 2024Un buen comienzo para el renacimiento de Silent Hill. Un juego gratis, corto y con una premisa muy acotada a los tiempos actuales, pero manteniendo la esencia de Silent Hill: el terror psicológico."
130,"9cammy8580Feb 3, 2024Seeing a lot of these other reviews truly sadden me, because they either are completely insensitive and misrepresent the story, or complain about the gameplay. SH:TSM's story is one of the best stories the series has had so far, delving into TONS of topics of teen struggles, such as regret, childhood trauma, self-doubt, depression, and many others. The first segment is a bit TOO blunt for a silent hill title, but later on, you can see that even later segments can be connected back to the themes conveyed at the beginning. The story itself was truly beautiful, and was a large stepping stone for the series following the disappointment we had over a decade ago with Homecoming and Downpour. It truly saddens me that people want to go out of their way to complain about such things but don't even have any sort of attempt to go in with any sort of understanding or nuance towards the title's themes at all, and really makes me question if they even understood the story of SH2, or any of the earlier titles at all. Speaking of which, it makes me think that even the complaints about gameplay don't come from an understanding of the gameplay in the games before. The series never prided itself on the gameplay, but rather the rich story. I promise you, the game is great, and worth your time.Read More"
131,"10Jkim_07Feb 3, 2024Es un buen juego y todavía mejor que es gratis, esperemos que la saga cobre vida de nuevo luego de esto"
132,"10leonnn1Feb 3, 2024One of the best silent hill games ever made, Fairly superior to the original games made by the Silent Team. 
Don't waste your time with Pathetic reviews, SH the short message has one purpose only, to send a short message, the story it conveys is very good, specially given the amount of time to tell it.
The nightmare sequences where horrifying to me and it is supposed to make you feel trapped and in despair, specially the final one.
My first statement was a lie, I got to admit, but this game is the most original Silent Hill game since **** memories. Don't let the boomer reviewers dissuade you from getting this game, specially it being free. 10/10Read More"
133,"1Lady_DFeb 3, 2024I can’t believe I wasted time on this game. It was a story about a girl and her teen **** was boring and not scary at all…at least it’s free"
134,"0KimoeFeb 3, 2024Occasionally found out that a new SH game has been released. oh hell, has anyone seen any trailers or advertisements before? thanks to the 250 members of the public fan-community that say about it because no one gives a **** at all. And who would like to after this live background menu what is it Minecraft? We are playing for the girl with no certain backstory like classic SH and that might play any effect on the user but actually don't because the whole storyline is written in litter newspaper and yeah, the papers everywhere in these tense scenes with Linkin Park-like music (that should scary me somehow) and flowers monster without any reasons to look like that, really, how the whole gameplay can be based on that **** watching someone chatting with each other,yyyy she is actually dead it is like in Experiment Lain, yyy yeah the same vibe bro, presented by running from Mr. Garryson **** butt-hole bypassing **** with the same root-pattern where the only move you need to do is to turn back and pass the scary segment. Does it really scare someone at all??? even my chihuahua stays calm and pissed off as usual. and the most obscure is that it is a PT-like game seriously not even close to trying to scare with curse words. really is it the content that SH auditory has been waiting for decades. the game that has the SH logo only because they own the franchise, the major point that the whole production group should be interested in creating games somehow close to the previous works. and now it is a **** full of unironically BUTT scenario with never stopping suicide plot-twist, full BRUUH 0>10Read More"
135,"10Iraro8Feb 3, 2024Excelente jogo para o retorno da Saga, um jogo que reflete a mente do personagem assim como um verdadeiro título de Silent Hill faz de melhor, não tendo medo de tocar em assuntos delicados para a nossa sociedade, vale muito a pena. Os gráficos estão lindos tendo transições de cenários em tempo real muito impressionantes.Read More"
136,"0I_am_SophieFeb 3, 2024Just ended up playing this game. Or, better say, the graphic novel or game **** I would like to address this review to the developers, the once greatest Konami studio. And it is a message to all the SH fans, who made this way from the original trilogy up to the present-day flop. To be more precise and logical, I would like to start with an impression from gameplay, which is absolutely absent. After approximately an hour of runs and wanderings in the same building there is only one puzzle figuring out the code in the school hallways. Staring a graphic shader and presents greatly contributes to a VR-art object that hide an absolute abyss. No sensible message, the lack of details or any sort of connection with the previous parts.A completely disjointed plot has nothing to do with the CONCEPT of SH. The teenagers' conflicts, involving typical puberty dilemmas and all the consequences of hormonal transitioning, are passed off as THE PROBLEM OF THE SAME LEVEL OF SERIOUNESS AS THE TRAGEDY **** BURNED ALIVE, A MAN WHOSE WIFE IS DEAD FROM HIS OWN HANDS AND A DOZEN OF CHARACTERS SUFFERING SEVERE PSCHOLOGICAL DILEMMAS. It is not an “undeveloped moment” – it is a LIE. Konami’s LIE and manipulation of their loyal fanbase. I need you all to UNDERSTAND this CLEARLY, my dear friends, following the downfall of such an amazing, ernest, starting with the Ascension and the mobile game and ending up like this.This PRODUCT – and nothing more than it - serves the sneaky, greedy, commercial strategy of the new heads of Konami to draw the attention of young woke solvent auditory to their soulless product. The NEW Konami, that fired Hideo Kojima. The NEW Konami, that treats the new players as walking wallets, easily charmed by their **** NEW being tongue-in-cheek to their heritage Konami, you guys.Read More"
137,"10PhoenixbugarinFeb 3, 2024Es un juego bastante bueno la verdad no me esperaba mucho por ser gratis pero de verdad vale la pena"
138,"10Mike045Feb 3, 2024Buen inicio para el renacer de la saga, a los que se quejan de que es solo caminar están demasiados acostumbrados a las armas y eso no esta tan bien, disfruten el viaje"
139,"0StivaliFeb 3, 2024Um simulador de caminhada, tendo uma duração inferior a duas horas,.........................................................."
140,"8FOX21stFeb 3, 2024Silent Hill is back, lot of comments are from people that doesn't get an idea about what is Silent Hill about, the vibes, the horror and suspense, finally we have more content and I'm happy to live in this homecoming age"
141,"9JuanSHFeb 3, 2024Para mi es un buen juego no todos los juegos tratan temas de problemas sociales lo cual  a mi me agrada , no todo es malo ni bueno creo para ser un juego gratuito es algo bueno y logra dar un mensaje bueno al final 
Los gráficos y jugabilidad le dan esa atmósfera se un silent hill , la cámara en primer persona da un enfoque nuevo en la sagaRead More"
142,"0SINIST3R_WOLF_0Feb 3, 2024Na minha opinião eu achei o jogo razoável, mesmo tendo uma história curta e confusa,  porém a grande decepção para mim e para muitos platinadores foi o fato do jogo não ter o recurso de troféus, sendo que até joguinhos bem simples como frogo, jump e muitos outros tem!"
143,"10Iso_dbzFeb 3, 2024this game was honestly perfect, its like a video game version of a “12 episode anime” and a damn good one at that amazing story and the chases were thrilling due to the monster teleporting in front of the door you open every now and then i highly recommend EVERYone to play it"
144,"10Donpollo16820Feb 3, 2024Increíble juego excelentes gráficos muy buena trama y entretenido no entiendo porqué los críticos son tan duros con el en primera se agradece que sea gratis"
145,"7tomasonFeb 2, 2024Critics and fans are being too harsh on this game.  First of all, it's free and that's appreciated.  Technically it is impeccable, the graphics are impressive. The scenery and monster design are remarkable and by far the best part of the package. The story and dialogues are somewhat weak.  But ultimately I enjoyed my time playing The Short Message and it managed to make me feel scared and uncomfortable in some parts.Read More"
146,"8NightLord-_Feb 2, 2024It does have some issues, performance to be precise when being in the other world, its usually not my style, but I didnt disliked it, so thats a start. Technically is a psychological horror

Graphics are good and overall enjoyable for what it So IMO: 8/10"
147,"10KELEO2000Feb 2, 2024Really good game, the history is really powerful and make you think about it. This game had a lot of hates, don't deserve that"
148,"8Dogger13Feb 2, 2024Um bom jogo, de graça com uma duração boa. Parabéns a Konami pelo jogo, muitas empresas cobrariam."
149,"1MatadorVorazFeb 2, 2024The theme is important, but the execution is horrible, it's a theme that I take seriously, but playing that made me not take it **** performance is **** the dubbing is bad, the narration makes everything boring, the parts where something happens are unplayable scenes. The game is tedious."
150,"3izzy215Jun 22, 2024Felt like I wasted a few hrs of my life playing this. Hope this isn’t the direction this franchise is going."
151,"1SamaelsBookFeb 8, 2024As boring as i can imagine. It is not Silent Hill, this is a modern-Twitter game about a girl."
152,"3chupumcuFeb 2, 2024It has nothing to do with the town or the franchise. There is no message here."
153,"9TastyMilk4RealMay 28, 2024short message from Silent Hill is definitely a good way for the franchise to return BUT, definitely a game with chase without combat like **** Memories is going to be a failure, I hope Konami doesn't go down that path again, I also noticed that the atmosphere is good but there is still room for more darkness and gloom like in the classics, the strong points of this demo are its soundtrack, ambience at certain moments, and an interesting enemy called cherry blossom, its only flaw is that it is an HK stalker and it is frustrating just to escape the all the time. Overall a good demo and a test game to see if the public would be excited about the franchise expanding and the answer is definitely yes as long as it is better worked.Read More"
154,"9OmnipotensApr 26, 2024I think it was a good game but as a silent hill game some part of it doesn't feel as silent hill, But ı really liked this game, gameplay, musics and atmospher is actually pretty good."
155,"6ArdhazzGamerMar 24, 2024(MY SCORE : 6 /10) Survival-Horror game from the Silent Hill Series which is the shortest series of the entire series. In this game we become Anita, a teenage girl who receives a text message from her friend, Maya (who has actually died by suicide). Anita must look for clues in an abandoned apartment complex in Kettenstadt, Germany. Occasionally he also received text messages from Amelie, which finally made him realize that Maya had died. While walking through the apartment, Anita also has to avoid the Sakura-Headed Monster that chases her at certain times, which cannot be attacked and can kill her!Read More"
156,"0nickjkirbyMar 20, 2024Well that’s two hours of my life I won’t get back. Where was my shotgun? I want to blow creatures up or smack them in the head with a baseball bat - not wander around as a whiny teenager."
157,"7bfsm99Mar 19, 2024O shadow drop do State of Play e o meu primeiro jogo da franquia Silent Hill, superou as minhas expetativas.
+Historia incrível (terror psicológico pesado)
+Atmosfera aterrorizante
-Queda de FPS
-Poucas opções de acessibilidade"
158,"8MechanixXMar 18, 2024Overall a decent game with a decent story about social media amd how it can negatively impact peoples self worth, a topic thats very valid in todays day and age. It plays like PT but with a purpose, something PT lacked. The bad reviews come from bandwagon hoppers and fake dans that havent actually played a Silent Hill game. This one, while its not the greatest title in the series, it definitely is enjoyable and fun and has an engaging story. It fills the gap at the very least until Silent Hill 2 Remake is finished.Read More"
159,"0Bladerunner_NZMar 5, 2024Absolute disgraceful addition to the Silent Hill franchise. If I could score this game any lower, I would do so in a heartbeat."
160,"0RomaoplaysMar 3, 2024This is literally the worst game I have ever played. I actually laughed out loud over how garbage this is many times. I couldn’t be paid enough money to play this again."
161,"3TrueOptimistMar 1, 2024An abysmal experience that won't take your money, but will indeed waste your time. Some how makes you turn on your own character and make you hate the decisions she has made. They try to make it, ""Oops, teenager stuff"", but its really off putting. And I get adding a warning at beginning of games like this, but this game has 5 total suicide/ self harm disclaimers from beginning to end, it just takes you out of whatever immersion you might have.

The actual gameplay/action mechanic is not good or scary as its meant to be. Any sense of dread you have is quickly erased by a dumb looking enemy and frustrating chase scenes. The ending chase is where the game goes from boring and uninteresting to just plain frustrating. The poorly made maze of darkness and similar corridors feels bad any make you want to quit out even though you know the end is near.Read More"
162,"4BlimpyPebblesMar 1, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
163,"6RedDragon1240Feb 29, 2024Nice freebie by Konami. The story is interesting about suicide, depression and anxiety. Graphics are terrible tbh but for a 2 hour game it's ok."
164,"8TheCarelessGameFeb 29, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
165,"3Lorenzoo1Feb 26, 2024Beside having a great atmosphere, and being free the game is absolutely unbearable at times. The feelings that the gameplay gives you are slowness and frustration that gets only worse the more time you actually play and want to understand something of the storyline. The story, in the other hand, is full of cliches and appears not to be authentic. The problematic of suicide is treated with a scary superficiality and is rapresented in a non believable way. It seems like the game have been written by an elderly person who can’t really understand the specific type of struggle they wanted to talk about, thinking maybe to get the attention of the younger gamer base. If that’s what the industry wants to feed us, we shouldn’t be so happy about it.Read More"
166,"4DarkwingSchmuckFeb 24, 2024Silent Hill: The Short Message is no where near the insult to the Silent Hill brand that other recent entries from Konami have been, but unfortunately there isn't much to it either.  This is a brief, forgettable experience that's only worth playing for the simple fact that it's free.  The Short Message's story and themes are about as subtle as a jackhammer, and its gameplay is non-existent and boring, making this an easy skip.Read More"
167,"9ibzzi123Feb 21, 2024Beautifully directed game with a powerful message. A bit too on the nose with the dialogue and themes, however, it still made for an engaging and immersive play. The horror aspect was present from the very start, and not too reliant on jumpscares. The story, revealed through notes, messages, and flashbacks, was the conduit for the horror. 

Overall, an enjoyable experience which left a mark on me.Read More"
168,"1GamergodsFailFeb 18, 2024Silent Hill: The **** Message is a strong contender for the worst game I've ever played. It lacks any subtlety in its message about suicide, guilt and mental illness whatsoever that used to express these issues symbolically in the older games, and the characters can't be any less likeable. But the gameplay is on a whole other level of horrid. From one minute you are simply walking around whining, to the next trying to find the right freaking book in a library. But where I stopped and uninstalled is near the end where it forces you to try and outrun some insta-death marionette mommy while you desperately run around a maze that's impossible to remember looking for pictures to unchain a door (like that makes any sense) in a trial and error exercise that I did not care to finish. It's one of, if not the WORST, encapsulation of poor level design I've ever had the displeasure to witness, let alone experience. It's not fun. It's not scary after the first chase. Even for free it's not worth it. They didn't even bother adding trophy support. I wouldn't make my arch enemy play something so contrived, convoluted and frustrating. We've waited almost 12 years for a new Silent Hill and this is the first thing we get? What a joke.Read More"
169,"10EquineDaddyFeb 18, 2024If you go into this as if it'll be like silent Hill you won't like it. It is not about jump scares it's more about the story. That is where the true horror lies. Read all the notes and listen. You'll see it's very good acting and very well written."
170,"4IshotrubberduckFeb 16, 2024With little scares and not much that made me think “this is silent hill”, The Short Message started putting me to sleep as it dragged on for the hour an a half I played it to completion."
171,"4Ldt1Feb 16, 2024Has quite a good atmosphere in some places, completely wrecked by the dumb maze chases, very heavy subject for the story, visually impressive in parts, but overall very disappointing, frustrating maybe even boring to play, few scary moments, chase maze scenes are terrible, Silent Hill name getting dragged through the mud again, people will compare this to p.t and it’s very poor in comparison. Very generous 4/10… :(Read More"
172,"7SarmythFeb 15, 2024I lost interest in chapter 3, but after reading a review here, realized it was the final chase.
The biggest saving grace for this game is that it was free, and this led me to think it was a demo. The psychological horror is definitely there, and they do talk about the fog. The issue is the game play is so vastly different from previous iterations. It is more alike to Outlast than Silent Hill. Yes, Pyramid head was an unkillable threat (and it's competitor Resident Evil has Mr. X and Nemesis for 2 and 3 respectively), but mazes and walking around finding clues is not all these games are. It is almost humorous that the game keeps going. The first chapter has an end that appears conclusive, and you see the suicide prevention message. I thought, ""what a great demo"". Then the game continues. I then think, ""wow they really are trying to impress you to buy this game"". The game drags on, and you see the suicide prevention message again. I found myself thinking how I wished the game would end. It reminds me of how I felt for Hellblade: Senua's sacrifice. Cool concept, but it just kept going. I would say Hellblade at least mixed up the flow with combat and puzzles. This game consists of walking through hallways finding the plot, or running through hallways from a monster. These chases, while tense, were hard to navigate making it unpleasant. The story is interesting, but Silent Hill: The Short Message did not feel short, despite being beatable in an afternoon.Read More"
173,"10jcymerFeb 14, 2024Caballeros el Team qué hizo Silent hill no volverá suelten el pasado, es un excelente juego con muy buena historia."
174,"9Mulder46Feb 13, 2024Muy buena historia, en los momentos que tienes que **** llega a ser desesperante, pero por otro lado.... genera esa ansiedad y frustración que produce el bullyng"
175,"4Jonathan_RotRFeb 13, 2024Western Developers ruined Silent Hill and everything that made it special with their ""Modern Audiences"" ****. But imagined my suprised when I saw the credits and it was all Japanese Developers. I would have never thought, that this big pile of **** was made by them. Now I see why Sony is slowly stayin far away from this Japanese companies. because even Western companies are not as blind, and so out of touch with reality. Sony needs to stop dealing with Konami, and Square Enix. These Japanese companies just keep popping out these awful exclusive games that ruin the PlayStation brand.Read More"
176,"9SolidChing85Feb 13, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
177,"9nuancesFeb 13, 2024Well-made, free reboot of the Silent Hill series with allusions to P.T. The story itself is heavy fare and not for the faint-hearted. If you have your own psychological problems, you should refrain from playing it so that you don't trigger yourself. You can have 2 - 3 hours of fun with it. The final chase is a bit annoying though."
178,"8skullboxFeb 13, 2024Como juego gratuito está muy bien. No se le puede exigir combate ni mas requisitos de calidad gráfica y de la historia.Todo eso se deberá exigir al Remake del Silent Hill2.

Es una oportunidad de acercar este genero a nuevos jugadores que no tuvieron la oportunidad de jugarlos en su época.

Es gratis, pruebalo.

As a free-to-play game it's very good. You can't demand combat or any more requirements for graphic and story quality. All of that will have to be demanded of the Silent Hill 2 ****'s an opportunity to bring this genre closer to new players who didn't have the opportunity to play them back in the day.Read More"
179,"2ECBNFeb 13, 2024As a PS5 game that can be played for free. This game is okay. But if it is a game in the Silent Hill series...I'm not satisfied."
180,"2loumexFeb 13, 2024Oh boy, the word MID never had a better reason to be used. 
Basic. Mid. Uninspired. Boring. Tedious. Been there done that a million times before.

But most of all, naive. So, so, so naive and remains in the surface. This is not something to be taken serious, because it feels like it was written by a 10 year old."
181,"8AlirezaaenineFeb 12, 2024The message conveyed is one of the most significant instances within our world. The game astounded me with its remarkable graphics. It effectively conveyed all of the main character's emotions to the player. The creators utilized two pivotal factors to instill fear in the player: logic and the player's experiences. One will undoubtedly be deeply scared by this masterpiece.Read More"
182,"3Manfra_22Feb 12, 2024O jogo todo é bem mediano. A história é fraca e é um walk simulator. Quando o jogo coloca você para jogar de fato, é uma perseguição frustrante e que te deixa com raiva ao invés de medo e apreensivo. Transformando o jogo como um todo em algo patético."
183,"3GooshoFeb 11, 2024If you think this game is anything like Silent Hill 1 - 3 or that it should be the future of the series please play those games again. The game is not scary whatsoever, the soundtrack is okay, but the sound design much to leave desired as it strives for realism over horror. Speaking of realism, the dialogue could use a lot of it, most of the dialogue throughout the game sounds like its satire or written by an extraterrestrial trying to understand humans. The entire story and premise of the game is weird, it doesn't really make sense why the protag would go here or stay here. It also reiterates this theme that the strongest animals don't live in packs they survive on their own, which is just not true I don't know where this comes from? Even, ""lone wolves"" travel in packs and have alpha's and omega and so do lions like what are they talking about? The story mainly goes through themes of cyber bullying which I do not believe should be the basis of a SH game, just turn off your phone and touch grass. It constantly gives you warnings that break the horror about bullying and suicide prevention, if SH 1 - 3 did that no one would play it it would have been laughable. If every horror franchise put a warning and mentally prepared you for everything that happened the franchise wouldn't exist. As for the gameplay, it's mostly walking into buildup to scares that fall flat and ends with a Slenderman section. This whole game just feels like typical Konami using an old franchise they've left to rot in order to enhance their marketing and generate clout even though then entry doesn't fit into the franchise at all. Konami does the same thing with Castlevania, Bomberman, and everything else. They should look to Capcom for a publisher that actually treats their series right. Even though Capcom has, ""modernized"" Resident Evil, the franchise is selling better than ever and the fans are loving every bit of it. Capcom shows love to their franchises, makes good games, and and makes good remakes. Meanwhile Konami just juices the life out of all their franchises. I hope they go out of business and sell their IPs.Read More"
184,"8AramesFeb 11, 2024Nice first short game for the rebirth of conami, I really liked. The story is moderately good, it has a very good setting and it makes you very afraid"
185,"8ForGamersFeb 11, 2024Traz um terror contemporâneo e trilha sonora impecáve. Jogo feito na Unreal 5 traz gráfico bonito."
186,"9wacko4487Feb 11, 2024great proyect, without many missing elements that everyones wanted to be in the game is a great experience, simple and solid message, feels the effort of the creators, plus is free, think everyone needs to try for that reasons"
187,"0momosh1Feb 11, 2024I've never played anything this cringe before, I laughed so many times.
Altho I liked the living room part, other than that, the rest is so cringe and sat through the whole demo cringing the whole way.
Very concerned for the future of SH."
188,"7FDH-27Feb 10, 2024اللعبة  جدا والدقة جدا رهيبة لكن القصة عادية حيل ومافي الغاز كثير.........."
189,"10Mashiba88Feb 9, 2024A very good game. I think that´s the way that many future Silent Hill´s games should follow. And it´s totally free! Nice one, Konami :)"
190,"8Ginzilla86Feb 9, 2024Can't understand the negative reviews at all. The demo entertained me in a dark, melancholic and hyper way. Plus, it's really pretty, bold in content and full of references to the franchise. I'm looking forward to the remake of Silent Hill 2."
191,"3asaadalshahinFeb 9, 2024An okay (at best) story combined with awful, archaic “2012 first person indie horror game” gameplay. While the graphics are fantastic, the dialogue, animations and voice acting SCREAM low budget and amateur. Also, whoever put together the chase sequences in this game should be ashamed. The game would have been tolerable as just a walking sim, to add BAD gameplay on top of it turned the game from mediocre to terrible. If this is a sign of the amount of time, effort and resources Konami is willing to put to its most treasured horror franchise, then that’s what I fear the most.Read More"
192,"1LordBitFeb 9, 2024si esto es con lo que piensan revivir silent hill, les quedo nefasto, Konami no se que piensa tiene en las manos una gran saga y solo hace meter y meter la pata."
193,"8ArgeGameVzlaFeb 9, 2024A gameA game Very entertaining I liked itVery entertaining I liked it The history and environmentThe history and environmentGraphicsGraphics LeavesLeaves More thanMore than Want"
194,"7Zeon1982Feb 8, 2024I kind of liked it. The fear factor was there in the final chase section. I needed to be more horrifying. More blood and monsters and have guns. If it had these things in it I would of been good."
195,"8GorineitorAkagiFeb 8, 2024Me ha gustado la puesta en escena aunque es corto , entiendo que es como una presentacion de lo que se va a venir. Creo que el juego que vendra ser muy bueno , lo espero con ganas"
196,"7whyorFeb 8, 2024I really liked this. it some problems but I am satisfied with what I got and I think they can make a compelling game with some of these systems. the gameplay mechanics were really strong. this game leverages the horrors people are capable of quite well. gameplay has some excellent moments but is held back by some strange choices. ring around the Rosie's is never going to be good please stop using it. I loved the dreamlike shifting of the environment, I can see inspiration from outer wilds. the puzzles were good but some of them could use a tiny bit more information but at the same time I feel like that's my fault. I enjoyed that they were hard and I like the struggle. the final gameplay section is a long chase that is almost great but fumbles it because it's just picking up some photos. I found myself dreading the horror sections not because they were scary but because they were the least interesting gameplay and never developed the story. I wouldn't consider this a good horror game for that reason but it is a decent demo with some promising direction and ideas.Read More"
197,"4Alecrast82Feb 8, 2024I'm hoping the upcoming game is nothing like this. They tried so hard to make a compelling story and it just feels like a forced agenda. The run from the monster scenes are stressing but not scary in any way."
198,"0LokimusicFeb 7, 2024Maltratam os jogadores com jogos grátis, se fazem algo grátis sempre fazem algo ruim, mas pelo menos é grátis não temos que gastar dinheiro"
199,"4AngelMiamiFeb 7, 2024Visuals and Graphics are good, but other than that the Game ****, the story was Meh Nothing Special, gameplay is basically walking simulator, it would be fine if it was Scary like OUTLAST for example, but it offer Nothing like that, The Last Chase Sequence is Frustrating rather than Horrific."
200,"8spectaculhereFeb 7, 2024I take it as a note of intent. Konami and the devs show that they understand what SH is about, and prove it by creating a highly successful atmosphere, art direction and soundscape. The gameplay itself isn't very good but I don't think it's the major point here."
201,"10229BRFeb 7, 2024Brilliant free game to play, in my opinion it’s captured what was great about silent hill in tone and atmosphere, need to play it."
202,"10J227BRFeb 7, 2024Silent hill the short message for me is an great free short silent hill game to playy, nails the atmosphere, and vibesthat I used to enjoy as a silent hill fan worth the download."
203,"5Stefold08Feb 7, 2024Storia bella però le ambientazioni sono un po’ scarse, luce e ombre abbastanza scarsa come cosa potevano fare meglio"
204,"8notafilthycasulFeb 7, 2024If you're garbage at video games go back to playing board games. Chase sequences were the best part of the game, even better than the one in RE8. Very fun got the heart racing.
-4 points for crap dialog, characters and story. Teen melodrama crap, is this the target audience for Silent Hill now?
+2 it's free. Would like full fledged game that involves these escape scenarios, change the scenario writers though.Read More"
205,"2BRY9-5000Feb 7, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
