,Comentario
84,"8PlatinumReviewsJan 29, 2024Prince of Persia: The Lost Crown ReviewPrince of Persia the Lost Crown is the latest installment from the long running series Prince of Persia by Ubisoft. This time around you play as Sargon an Immortal Guard sworn to protect the royal family of Persia. However, when the crown is betrayed, and the prince is kidnapped it is up to Sargon and the other Immortal’s to rescue him. If only things could be that easy. The prince is taken to an ancient temple where things are not quite what they seem. Time and reality bends outside the laws of physics, things are not what they seem. Can Sargon rescue the prince or is there more impending danger in store for him? Overall, the story of The Lost Crown was enjoyable. With betrayal, twists, and great side characters pacing perfectly between the short stories. I can’t say it will leave you wanting to experience it again however, some of the side characters would make for some entertaining DLC. The Lost Crown is a 2D platformer Metroidvania style game, if you do not know what that means than let me explain. Metroidvania is a genre of game which mixes Metroid and Castlevania gameplay. Typically, in these games you have an enormous map with bits and pieces being unable to be explored. As you progress through the game you are welcomed with new abilities that allow you access to these previously unobtainable areas. These areas feature treasures, abilities, or a new path to continue the story. As Metroidvania games go this one definitely ticks all the boxes of what makes this style of game so great. The map isn’t overly huge to where you don’t want to explore it all. The puzzle areas while some can be hard, aren’t too complex to where you don’t want to complete them. While on the subject puzzles I think Ubisoft did a fantastic job at the puzzle sections of this game. With just the right amount of challenge, you will be testing your wits as you try and complete these fantastically laid out puzzle sections. These only get better when they add in the new abilities that you get while progressing through the game. Getting a new unique ability and being able to see the many ways you could use it while doing these puzzles was one of my favorite parts of this game. The Lost Crown’s combat is very fluid. Early on I felt like it was too simplistic with a lot of the first few hours being just tapping square as I fought enemies. As you get further in and unlock new abilities you are greeted with a unique combat style that does a great job at not becoming stale. These new abilities are unlocked at a good pace in contrast to the story. With each new ability adding to your overall arsenal and allowing for some pretty cool combinations of attacks. Within the realm of combat is the boss fights, which was probably my favorite part of the game. Each boss fight felt completely different from the last one. Yes, most of these were challenging however, it was a blast trying to figure out the patterns of attacks and the perfect timing to unleash combos on these bosses.  Now before we finish this up let’s talk about the issues with the game. Prince of Persia has a good number of bugs and glitches that I ran across that really affected its score. Simple issues like enemies falling into the ground or game crashes is just the starting point. I had it to where I accepted a quest, and the game just froze up on me. Another part where the background disappeared and my character just floated until ultimately, he just froze, forcing me to quit and reopen the game. Interacting with chests requires a simple press of up on the right joystick, however this would require multiple swipes up or moving away from the chest and going back. This is just to name a few of the many issues I ran into during my 14 hours with the game. Overall, I enjoyed my time with Prince of Persia: The Lost Crown. The story was good, combat while starting off bland managed to become enjoyable after a bit. The game features unique and exciting boss fights and is a well-paced adventure that doesn’t overstay it’s welcome. The game falters quite a bit with how unpolished it is. From the numerous bugs and glitches that caused way too many headaches, to the game crashes that took away from the overall experience of the game. I would suggest Prince of Persia: The Lost Crown but you may give it a bit for the issues to be patched. I would give Prince of Persia: The Lost Crown a 7.5 out of 10... 8 since Metacritic doesn't allow half scores.Read More"
85,"10Milansan777Jan 29, 2024They absolutely nailed it! Such a ""non-ubisoft"" **** thats a compliment but so it is! If you loved Ori you will love this! And the abilities you gain truly makes progression something sought after!"
86,"9frankzangJan 27, 2024An absolute masterpiece of a metroidvania, the exploration is neat with a lot of entertaining  and challenging puzzles and the combat mechanics is very satisfying with different combinations of powers that allow for unique gameplay styles. Ubisoft did a truly great job with this one!"
87,"10SharprubenJan 27, 2024I haven play a game this good in a long time I really enjoyed it until the end."
88,"10HipHopHead911Jan 27, 2024This is everything a dope metroidvania should be. The folks at Ubisoft Montpellier made a gem. Which is shocking coming from Ubisoft. But this game is phenomenal. The combats fluid and great. The Metroid/Castlevania elements are dope. The power ups are awesome. The map is so big. Side quests aren’t mainly fetch quests. The difficulty is challenging just enough to where you can maintain after learning enemy patterns. Amazing game everyone should check out if you are into Metroidvanias. This was a great kick off to this years crazy gaming lineup. I recommend it to everyone to be honest.Read More"
89,"10Wyvrn13Jan 26, 2024I'm 6 hours in and I've basically had a flawless experience. Game controls great with great combat mechanics, has a great story, a ton of secrets to find, amazing boss-fights. Every possible expectation I could have had has been surpassed."
90,"7ArabGamerJan 26, 2024after more than a decade waiting for the franchise the comeback while no one would anticipate it to be back as 2D platforming game.I enjoyed the combat it s fresh fast and get really interesting as you gain up skills and learn new moves.Loved the boss battles. Platforming is a bit  annoying but  really awarding when you overcome the obstacles. However, I did not like the animation and environmental  design it felt so outdated and the characters looked so ugly. the story is mild and there is no character development so you kind of focus on the gameplay and not care about any of the charactersRead More"
91,"10SINAFARDJan 25, 2024I enjoyed Prince of Persia the lost Crown very much and it became a special translation for me because this game had a Persian dubbing and made my experience as an Iranian gamer deeper. I think this game is a complete and perfect Metroidvania. The design of the stages, the soundtrack, the combat system and the design of the game world inspired by ancient Iran and the stories of Ferdowsi's Shahnameh make this version much more special.Read More"
92,"10sefpancuJan 25, 2024Pros
Top-class platform mechanics and gameplay.
Excellent episode and enemy designs.
Interesting story.
Very good game duration.

Cons,
Expensive."
93,"10JockelzFJan 25, 2024What a nice surprise. Ubisoft delivers one of the best metroidvanias of all time."
94,"10StrohbiJan 25, 2024Game is just stunningly beautiful, controls make my brain tingle just the right way, the world and story within are actually interesting and I just really have a ton of fun playing this game. Well done Ubisoft! So cool to let the rayman guys take on Prince of Persia! And they showed great taste and took their inspirations from all the right games. All here for that kind of stuff! Thanks!Read More"
95,"2PerknutzJan 25, 2024Just terrible. Franchise has take a huge step backwards. We're suppose to upgrading in the new gen not going backwards"
96,"10Redstar79Jan 25, 2024Absolute perfection!  One of the best platforming games I’ve played in years."
97,"1ArthurFranckJan 25, 2024Worst PS2 graphics game.There is not playability.They don't think about level design, some parts of the game are awful.I'm playing at Ubisoft+, but if I had bought this game at full price I be really regret it."
98,"9ChromaticaaJan 24, 2024Let us celebrate the fact that Ubisoft has managed to churn out something like this. Prince of Persia The Lost Crown is the best game they have made in years! It is a treat to play on the PS5 at 4k 120fps. Sadly I'm unable to attain 100% game completion due to a side quest bugging in the game but I remain hopeful Ubisoft Montpellier will patch this.Read More"
99,"9SousinhaJan 24, 2024What a amazing and fun game, at all levels, this is a must play game. Only the price could be a bit lower."
100,"10afrancesco999Jan 24, 2024Prince of Perisa The Lost Crown is the perfect proof not only of the quality that the Ubisoft Montreal studio is capable of cooking, but of what Ubisoft itself for many years, apart from the Mario + Rabbids cases, has failed to demonstrate it has Instead. A fresh title, which partly revolutionizes even the metroidvania genre, which winks at the origins of the franchise, with a depth of combat that is unmatched in the genre, an incredible soundtrack and an intriguing story. The voices of the characters are perfect and the use of the Farsi language (the Persian language) is a gem, well done. Who knows where the franchise will go after this title; anxiously waiting for the remake of Sands of Time. Congratulations Ubisoft, you have amazed us all and you deserve the great reception this game is having. You have to continue like this, even with these titles which, although small, diversify from the classic formula and are a unique and original experience.Read More"
101,"10JagWarJan 24, 2024This is going down as one of my favourite metroidvania games of all time. Up there with Castlevania SOTN, Super Metroid, and Hollow Knight. This is also a chunky game. There is a lot to do, you will def get your money's worth. POP is back and is better than ever."
102,"10PouyarnirJan 23, 2024GooooooodThank you for using Farsi dubbing and subtitles مرسی بابت استفاده از زبان پارسی"
103,"10ShayanazJan 23, 2024Its one of the best games of 2023 and i hope ubisoft make sequel of this series because it has a great potential and its so great that they added persian(farsi) language and subtitle and i hope they continue this road"
104,"10jojo83Jan 23, 2024Perfect gameplay with many sequence: platform, exploration, puzzle... The only metroidvania withso many styles included. Good job Ubisoft Montpellier."
105,"10mrmrmrJan 23, 2024I hope the game developers will add Persian language for other games. thank you ️"
106,"10Hosseinkd35Jan 23, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
107,"10WorfyJan 23, 202410 out of 10 simple as that .  Do belive even for a AA game whe have a GOTY contender right here at the start of the year.

Ubisoft hit the mark whit this one"
108,"9Garlic_gddssJan 22, 2024the xss vision should have higher graphic setting, even ps4pro can do better in some time"
109,"10JubasiJan 22, 2024My god, i love this game. Every part of it.
Combat, plateforming, Puzzles, landscapes, bosses, **** not sleep on this game guys, 
A must play ! 
I truly think we will hear about this game by the end of the year for the game award"
110,"7CindercharJan 22, 2024I think this game started out more of an 8 or 9, and then dropped to a 4 or 5 later in the game. The story is not what you really play this kind of game for so it was serviceable. The combat and platforming in the early and mid game are really well done. It felt balanced and fair. Early and mid game bosses felt balanced and fair. It took multiple times to learn attack patterns and adapt. But the late game is where this all falls apart. Bosses become unbearable unless you drop the settings down. Some of the platforming and puzzles are just absurd. This was never my style of game to begin with but since it was done by Ubi and the art and gameplay caught my eye, I thought I would give it a try. And my consensus is simply the game is fun and engaging up to a certain point and then obnoxiously frustrating in the end. I will never buy another game in the style again. Just be warned that if platformers aren't your thing, this game will eventually become irritating to finish.Read More"
111,"10DRya85Jan 22, 2024Hey Ubisoft,I played POP the lost crown,I really enjoyed it.that was fantastic, specially Farsi dub and subtitles.over all thanks for this experience that you created for us , by the way ,It was the first game which has Farsi dub and subtitles. We like to play your games at least with Farsi subtitles."
112,"10HerraezJan 22, 2024It is the perfect comeback for a most-beloved series. I am looking forward to future instalments of the Prince of Persia saga!"
113,"10MAhdiMGSJan 22, 2024Thank you ubisoft for adding Persian language to this amazing game.
I hope in the future all video game companies consider adding persian language"
114,"10Shoya2003mJan 22, 2024I played the game and the only thing I can say is that this game is amazing and the experience with Farsi was very good"
115,"10yaguljaJan 22, 2024Holy macaroni was I not expecting this. Creme de la creme in every aspect: art design, graphics, sound, gameplay, map, navigation, powers, progression you name it. Prince of Persia: The Lost Crown? More like Prince of Persia: Here is Your Crown."
116,"10AliDashJan 22, 2024Fantastic Gameplay and art style. 
and the Persian Dub is such a nice experience"
117,"10farzadking69789Jan 22, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
118,"10Joshy_Jan 22, 2024This game really nails its combat and boss fights. The art style of this game is also **** awesome Ubisoft game after a long,long time."
119,"10smaminshJan 21, 2024I am very grateful to Ubisoft for finally using and supporting the Persian(Farsi) language"
120,"10EdenaRuh94Jan 21, 2024Imprescindible, si te gustan los metroidvanias a la vieja usanza. Ya empieza el 2024 fuerte."
121,"8royalguy07Jan 21, 2024Exellent, if standard, metroidvania with insanely fluid motion and traversal mechanics and strong combat. While the PS2-ish era story and characters leave a little to be desired there is no doubting the moment to moment fun to be had here.A complete, and welcome, overhaul of the Prince of Persia series."
122,"5RiffMachineJan 21, 2024The platforming alone is hindered by having to use the analog stick for movement rather than the D-Pad.  Good job giving gamers the option to switch...  Note sarcasm."
123,"10MDmohammadJan 21, 2024One of the best Metroidvina style games and of course Iranian , Thanks to Ubisoft for making this game"
124,"10MargBaardJan 21, 2024This game is my very first Metroid Vania, and my first 2D platformer in a long time. I'm one of those people who, not being used to the genre, might have been skeptical, but I was right to take the plunge, because Prince of Persia made me want to dive into the Metroid Vania genre. I think it can only be the mark **** game to make you want to play it again, or discover other games that come close!

Focusing on gameplay now: the gameplay is lively, and there's never a dull moment. The map exploration is top-notch, the platforming sections challenging but with a clever progression that makes the whole thing super enjoyable. The combat system is super-deep and satisfying, pushing us to adapt to different bosses and enemies.

The story takes the codes of Shonen, you follow the build up of a hero, so it's efficient!

In short, a huge favorite.Read More"
125,"10Ahmad1386Jan 21, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
126,"10CraggerJan 21, 2024This game is AMAZING. You can really see that they put effort in the game. Also, you can play it in Persian which is like wow."
127,"10Thegame9898Jan 21, 2024Best story dialog and gameplay persian language is amazing we hope add persina language to all games"
128,"10TahaCypherJan 21, 2024Very satisfying game
Smooth parkour
Smoother combat and battle
And another good point in this game is Farsi dubbed it's very perfect & clear"
129,"10So-hellJan 21, 2024The level design and gameplay were really great. Persian dubbing and subtitles were an interesting experience."
130,"10FF_ArsiJan 21, 2024بسیار بازی عالی و تمدن ایران را به نمایش میگذارد
بازی بصورتدو بعدی و حتی سه بعدی است"
131,"10JrhanburyJan 21, 2024Really fun game to play. Very smooth and moves at a good pace. Pleased to have Prince of Persia back."
132,"10AtaRouhiJan 21, 2024Prince of Persia: The Lost Crown is a true masterpiece that successfully breathes new life into a beloved gaming franchise. The captivating gameplay, stunning visuals, and intricate combat mechanics make it a must-play for both nostalgic fans and newcomers alike. The metroidvania-style exploration is a testament to Ubisoft's commitment to delivering a rich and immersive gaming experience. The game's reimagined world, filled with challenges and enemies, provides an engaging and rewarding adventure. Despite some initial simplicity in the platforming, it evolves into a deeply satisfying journey. A triumph in game design, Prince of Persia: The Lost Crown deserves a solid 10 out of 10 for its outstanding revival and execution.Read More"
133,"10NPDARKGAMERJan 21, 2024If you are new into Prince of Persia Don't Worry You Don't need to Know anything its completely new game, I would say it literally the best Ubisoft game after almost a decade I hope they keep making these types of games
And can't wait for sequel"
134,"10GrambohJan 21, 2024Perfect 
game for the revival of the Prince of Persia franchise. Combat feels smooth and is fast paced, keeps getting more enjoyable the longer you play. Exploration in this metroidvania like game is very well done, and keeps you wondering what is next to discover.

Great story, great combat, great atmosphere.
The first must play game of 2024!Read More"
135,"10Amir3350Jan 21, 2024Persian awesome gameplay and storyLove  ubisoft  realize more game with Persian Language"
136,"5nqa5qweJan 21, 2024Meh in most ways. As a massive fan of metroidvanias and the Prince of Persia series I was hopeful for this. Having been burned too many times by reviews that dont talk about serious bugs or other major issues with the game I waited until actual user reviews came in, it was being reviewed positively so I bought it.

The story has no draw for me and the characters are flat, some are even voiced by a text to speech program which is unacceptable when paying full price for a game from a AAA studio.

The combat is ultimately just annoying as enemies are spongy and hit hard so will often kill you when you arent even trying to engage and actually just play the game, the reward for killing them is tiny so its not worth it. Exploration often seems to have no reward, you complete a combat encounter or challenging platforming section to be rewarded with a +10 to your currency which you already have thousands of. There are large areas that have nothing to do in them except run through.

The platforming has come cool ideas and builds on them however its lazy to make puzzles that require 3 recordings of yourself to complete in different stages rather than actually being complex, these sections also get dull very quickly when you make a mistake and have to wait for the timer to elapse.

With better games like Hollow Knight or Ori I was excited to play them, with this I force myself to come back each time in the hopes that I ""get it"" this time or I get some meaningful new ability that helps me enjoy it.

Overall not a terrible game but without a doubt nowhere near a 10 which everyone seems to be giving it, I wouldnt even say the much much better metroidvanias on offer were perfect and this is a far cry from them.Read More"
137,"8AvvytheoneJan 21, 2024Hollow Knight got some serious competition. I am glad that Ubisoft is trying something new. Game is smooth and combat is fabulous. THe main story is around 12-15 hrs but 100% requires 20+ hrs. Waiting for the DLC if it comes"
138,"10Sickman505Jan 21, 2024[SPOILER ALERT: This review contains spoilers.]Read More"
139,"10MebbstarJan 21, 2024Thank you Ubisoft for a 10/10 game and for depicting the Persian culture and history in a correct way. Amazing that you also added voice actors in persian/farsi."
140,"10MiladimirJan 21, 2024It is the best and beautiful ways to bring life to on of the most nostalgic and oldest franchises ever."
141,"10CalibrationsJan 21, 2024Thank you Ubisoft for paying attention to the Persian language and culture in the making of this game. Looking forward to more of this franchise and more games localized to persian."
142,"10GarshaspJan 21, 2024An instant classic that gets what makes the Metroidvania genre so good

Thanks"
143,"9Akc018Jan 21, 2024This game goes far beyond my expectation and is one of the best metroidvania games. It probably cannot beat Hollow Knight because of HK's art style, but otherwise it's a great game, full of fun, challenging yet avoid being punishing at all. Also apart from being a metroidvania game, it's also a PoP game, showing elements that resembles Jordan Mechnar PoPs, which I was a fun for. PoP+metroidvania is such a good combination.

A few things I don't like as much: requires Ubisoft connect, various bugs at launch (I'm stuck by a single bug that blocks out 3 trophies), art style may be a slight bit too flashy for my taste.

The game has a very large map, but is very accessible. Unlike HK, it doesn't punish the player: tons of save points and teleport, the map updates in real time (and without the need of amulet), death penalty is as low as you can get, different difficulty levels, retry boss battles directly without respawn at save point. It makes me so happy!

Battle is fun yet challenging, there're various combos similar to action games, boss fight is challenging and fast paced, which also shows some influence of fighting game. On normal difficulty, boss fights are not easy, but after a few iterations and the pattern becomes clearer, it's doable (with a lot of room for errors on lower difficulty) and it feels very satisfying.

The game is overall very polished although with some bugs. It perfectly built on the modern metroidvania games (e.g. HK) but has its unique style. I'd highly recommend it.Read More"
144,"10amirho3ein1989Jan 21, 2024The unique narration of the legends of ancient Iran 
and first class Persian dubbing 
thank you Ubisoft for this great game"
145,"10MinStar0XJan 21, 2024Greetings to Ubisoft!

Thank you very much for the Persian dubbing of Prince of Persia . This is a great move for Parsi language users.

I hope you continue this path and we will see more works from Pars in the next titles."
146,"10Amirho3ei138Jan 21, 2024Ubisoft, Thanks for your Attention to persian culture And Perian dubbed this game."
147,"10Mh3nXJan 21, 2024Its a masterpiece, add Persian subtitle in every game سریعاً و فورا ، کصشر هم تعطیل کنید کیرم به حامد"
148,"10amirhoeesinJan 21, 2024Ubisoft, Thanks for your Attention to persian culture And Perian dubbed this game."
149,"10VawndixJan 21, 2024This game was phenomenal
The story is one of the best parts of it
Also the gameplay is another level
It's so hard and tricky that makes it so enjoyable and you won't get board at all
Totally worth every penny
Thanks Ubisoft after a while now you have my attention again"
150,"10ShipwreckTTVJul 1, 2024End credits are rolling as I write this. After hitting a wall with the difficulty of the combat in the first hour, I eventually got into the flow of this game and it became more and more rewarding the further I progressed. This is one of my favorite genres and Prince of Persia the Lost Crown is among the best Metroidvania games I've played. It is absolutely huge! The map is utterly filled with traps and environmental hazards and call back to the very first Prince of Persia side scrolling game. Every enemy could be a game over situation if you're not careful and these are some of the most spectacular boss fights I've ever encountered. The visuals are gorgeous, from the over-the-top cast of characters to the richly detailed landscape. I can tell so much care and attention went into this game from start to finish.Read More"
151,"9aeternumlkJun 27, 2024Great game, one of the best game 2024. Many are not happy that this is not the same Prince of Persia, but they forget that initially the Prince of Persia was exactly like that. I hope there will be a continuation, it will be interesting to know the story further."
152,"10danathaydeJun 15, 2024What an amazing game! After playing Hollow Knight, I wasn`t sure I would be satisfied playing any other metroidvania out there, but I was wrong. This game reaches the same heights. Amazing platform and level design, deep and varied combat and an interesting story that is easy to follow. Better than Most Blockbusters AAA games out thereRead More"
153,"9RetroRubenJun 12, 2024Awesome metroidvania with a nice little story and awesome moves. 9/10 without comparing it to the masterpieces of the genre."
154,"10JAPRASJun 4, 2024Buenísimo el juego, me ha gustado mucho más que metroid dread. una joya total!"
155,"10EdugreenJun 2, 2024I can say this is my favorite metroidvania since Hollow Knight. Great story, responsive controls, good characters. The Switch version didn't let me down. 10 out of 10."
156,"10PJMZdanowskiMay 20, 2024Amazing mix of Metroid Dread, Mario, Rayman and Dark Souls. As strange as it sound the effect is a superb, addicting, responsive and challenging game with amazing mood."
157,"1DalgachMay 30, 2024Changing my review to 1

I got bug locked because a door won't open anymore after a crash.

The game is rich, diverse, and really innovative on some mechanics. The gameplay is really smooth and nice.

I'm not giving 10 because I think it could benefit some QoL improvement like a mini map, in order to navigate without opening the map every 10 secondes to know where I am going.

Don't ever hesitate to play it if you have the chance.Read More"
158,"6AvenriseJan 28, 2024Metacritic doesnt seem to let you delete reviews if you've given them to a game on the wrong platform so here's a free '6' PS5 version, you're welcome!"
159,"9Mean_KoreaNZMay 27, 2024This game is really fun, but it's been a long time since I played a game this difficult. The reason I can't give it 10 points is simply because the game is too difficult. I honestly wonder if people will be able to play this game on normal difficulty. I've died countless times and played on easy mode, but it's still difficult. Some puzzles require very difficult manipulations to even reach the location and do not allow for even a single mistake. The map is unimaginably large and fun to explore, and the graphics are excellent. Although it was difficult, I had a lot of fun playing it.Read More"
160,"9GamergodsFailMay 26, 2024This is my first Prince of Persia game. I never really showed any interest in this series until I decided to check out the demo for this reboot. As a huge metroidvania fan, I knew I had to have it. 20+ hours in, I'm in love. The Lost Crown has to be one of the greatest and most rewarding action platformers I've ever had the pleasure of experiencing. The level design and puzzles are nothing short of brilliant, the controls are incredibly tight and responsive, and innovative time abilities constantly do a good job of changing the dynamic of gameplay. A couple of things could've been better. The story could've been a bit more engaging, and the music is just forgettable. But while quite not enough to redeem Ubisoft's many years of recent screwups, this title is by far one of 2024's best games, and is possibly the best game they've produced in over a decade.Read More"
161,"6LJP83May 23, 2024I'm giving this a 6 because it has really good production values and mechanics, but I personally hated it and will never play a game in this genre again, so I can't rate it any higher.

The exploration was amazingly tedious and frustrating, and so were the boss fights. Making progress was a chore, the whole game feels like a job, it's very rarely just fun, it's maybe something I would enjoy on my couch on a different platform, but I don't want tedious, annoying gameplay on my handheld.Read More"
162,"8EwokianMay 22, 2024Overall the game was decent in quality. Throughly enjoyed the story even though it was fairly obvious what would transpire. Solid platformer with fluid combat.

Crashed a few times but didn’t run into the bugs reported in earlier patches. Would definitely give it a go if it’s in your potential game list."
163,"9SpurdanielMay 20, 2024Prince of Persia: The Lost Crown is a great game. I really enjoyed the Trilogy, which I played on PC and I hoped for a Prince of Persia title for the modern PlayStation consoles. I was sceptical at first, when I found out it was a 2.5D game, but I still decided to buy it. In the end, it was much more fun than I had thought it would be. The combat system is great, even though it is in 2D and there are many hidden areas, which are fun to explore. There are also different areas, which are thematically different and they are all in an open world. The game was quite long (I needed around 50 hours to complete it the first time) and it didn't become boring. I would give it 10 points, but the story wasn't really well made, due to the game being non-linear. Overall, I think it's a great game.Read More"
164,"10ricjen27May 10, 2024Underrated great fun game.. easy to pick up any time.. no crazy commitment needed. very fun puzzles and challenges to solve.. wish the game would be longer. hope they release a DLC"
165,"10BurzykMay 9, 2024Simply one of the best metroidvania I ever played. Cool art style, kinda low-res but smooth 60 FPSon PS5. Great combat and platforming for like25 hours to platinum trophy."
166,"9VinivitorioyoMay 6, 2024Realmente é um jogo muito bom. Não achei tão fascinante como hollow knight ou Ori mas é melhor que o Metroid dread e isso é muito relevante. As mecânicas para não deixar o jogador perdido, poder escolher sua dificuldade, uma história interessante, legendas em português, jogabilidade deliciosa, bom sistema de combate, ótimos desafios de plataforma. Esse jogo entrega uma experiência maravilhosa. Poderia ter chefes mais marcantes, locais que me fizessem sentir mais imerso. Não que os locais e gráfico sejam ruins, mas eu queria ter me sentido mais imerso naquele mundo como me sinto no hollow knight. Também queria ter mais poderes desbloqueados ao longo da aventura. Senti uma progressão um pouco estagnado em alguns momentos. Essas críticas e problemas não afetam tanto a experiência que foi maravilhosa. Valeu muito. É um dos melhores títulos do Switch. 
Indico muito o jogo. Jogo engaja.Read More"
167,"9tom974May 6, 2024Ubi's best work since Rayman Legends from my point of view. An original metroidvania with clever mechanics and even more clever difficulty and exploration settings, allowing every player to experience it at its best. Graphics are sober but neat, framerate is solid. The fights are almost as thrilling as those of Hollow knight, demanding but fair, with an emphasis on the parry. From my point of view again, I recommend to begin in Hero difficulty, and even put it to max difficulty near the end since the accumulation of power ups and the player's assimilation of the skills can make you overpowered. 
A must play for metroidvania lovers.Read More"
168,"6kovalennkosMay 3, 2024Сюжет 5/10Безликая история “на нас напали” с развитием в какие-то мистические древние места, в которых странности со временем, за 30 часов игры сюжет почти не развивается, много всяких старых историй в записках, но они банальные и бессмысленные
Саунд 3/10Музыка очень плоха – я ее вообще отключил ближе к 10 часам, звуки урона вызывают уныние, вообще большинство звуков кроме мувмента неуместные и унылые
Геймплей 8/10 Основной геймплей очень разнообразный, а драки часто вариативные, что здорово. Не здорово, что нужно бегать по карте в поисках проема, в который то можешь залезть с текущими способностями. Точка перемещения отркывается раз в 5 зачищенных помещений, а так как жанр препдполагает, что тебе надо постоянно возвращаться в предыдущие места, ты бегаешь по одним и тем же в первый раз с интересом пройденные, но в последующие разы осточертевшие от ловушек и врагов локации. Из-за этого играть и перестал. Боссы симпатичные, но каждый босс заключается в том, чтоб запомнить, куда от него надо прыгнуть во время атаки и ударить 3 раза в окно. Вариативности и места тактике нет.
Визуал 7/102д платформер-метроидвания. Наверное, от такой игры графона и не ждешь. Что есть – выглядит неплохо, но не то чтоб красиво и цепляюще.Read More"
169,"10AlejandroSanzMay 1, 2024El mejor juego de Ubisoft que yo recuerde, es un metroidvania excelente en jugabilidad, historia, mapeado y graficos."
170,"10yeahahforrealApr 27, 2024Prince of persia is my game of the year. Very fun combat, platforming, and exploration . Combat is satisfying. You always have new stuff going on. Not repetitive. Abilities are amazing and badass. it looks and plays excellent, very smooth in everything. Some parts of platforming is challenging in a good way. Best metroidvania game.Read More"
171,"9vlaadi06Apr 24, 2024great metroidvania/soulslike, very fun and challenging bossfights, very customizable settings, you can let the game tell you where to go next or explore on your own. if you liked hollow knight, ori or any other beloved metroidvania then you should definitely try this one too. i am hyped for the upcoming updates"
172,"8OnioncreatureApr 21, 2024A really good Metroidvania title.  The gameplay is really engaging and fun.  Some elements do feel derivative of other titles.  I found the narrative fairly uninteresting.  Overall a good time, would recommend."
173,"9TibawApr 21, 2024Great game overall. The story could be perfectible. But, the gameplay itself is just great. I loved my time with it."
174,"8SlittherApr 19, 2024Jogo é bom, mas tem muito bug e os chefes são tristes. Esses chefes mal formulados mataram o jogo."
175,"10DakhwazApr 14, 2024This is the best POP I have played since Warrior Within. The gameplay is perfect."
176,"9edufd98Apr 10, 2024Very fun to play, compelling story, the art style is beautiful. The platforming is challenging and the puzzles was ok, but it's strongest point, in my opinion, is the fighting mechanics. I really enjoyed playing it."
177,"10CronstinteinApr 9, 2024My favorite metroid-vania to date (displacing Metroid: Dread).

The melee combat is very well realized and the enemy variety is wide enough to keep it interesting throughout the run time.

The platforming is incredibly satisfying and not too difficult.  The game feel here is absolutely top notch.  The amount of air control, jump height and the way you can (and should)  lift enemies and kick their asses in the air all feels amazing.  When you complete a longer section of demanding platforming, using multiple powers, it's great.

The story is surprisingly good as well!  If the story was throw-away, I still would have rated this game highly because it's the least important factor in a game like this, but I'm a **** for time travel and this game handles it well.

This game has all three kinds of heat and will surely be a classic in the genre for years to come.  I will definitely put this on my replay list for a few years down the road.Read More"
178,"9RobertBruceMar 31, 2024Prince of Persia lost crown is a top tier Metroidvania game. The game plays similarly to other Metroidvania games in the fashion of obtaining new abilities to access new areas of the game. There’s lots of collectibles and 9 side quests, so you are always rewarded when exploring.  The story is fine, but the gameplay is what makesthis game shine. The combat is real smooth and responsive, there’s lots of different abilities and different items for customization, lots of various enemies and bosses, the platforming is challenging in parts, but also very enjoyable. There are a number different puzzles throughout the game as well that are thought provoking and fun. The only issue I really had was often items I was searching for items and once found, I would be in a corner of the map with no fast travels nearby and I would just kill myself to respawn at last resting place. The game could have benefited from a “teleport to town” item of some sorts in my opinion. Fantastic game overall 9/10.Read More"
179,"9Floppyhoofd_Mar 25, 2024This is actually the first Metroidvania I can get into! I'd rather have little games like this than those godforsaken remakes. As far as I'm concerned, they can keep the Sands of Time remake and make a sequel to this!"
180,"9HydrophobikFishMar 25, 2024This game really caught me offguard, its an excellent metroidvania with fluid traversal, a huge map full of useful collectibles and challenges, and fun combat. It scales a little strangely: the platforming difficulty spike is huge while combat doesn't really grow from the early game, while the narrative is a bit unfocused and straight up forgets about a character, and bosses are (mostly) forgettable. But for 80% of the game it is addicting and fun. The real star is the platforming and the enormous map, coupled with a ton of great QOL changes.Read More"
181,"9zhumberJan 31, 2024Un buen juego, mecánicas excelentes, gráficos super, duración muy buena al igual que la musica. Para mejorar, la historia falta mas enganche pues no queda muy claro algunos temas y personajes, de igual forma los amuletos, algunos ni los usé y al final terminé con piedras para mejorar armas y con falta de ranuras, para mejorar sistema de amuletos. Muy buen Juego.Read More"
182,"4l0ckd0wn7Mar 22, 2024Wasn’t the game I expected to play compared to other prince of Persia played it for a while."
183,"10LeozerasMar 19, 2024Excelente metroidvania. Gameplay fluida, ótimas mecanicas e progressão de personagem."
184,"10PepperonipizzaMar 18, 2024Excellent game and I do wish they allow these studios to make more games so they can create games with love"
